WO-MRR NUM,IS REWORK,PROD_CDE,HOURS BLAST TO PREP,PREP DAY,PREP SHIFT,PREP H,PREP QTY,PREP ASSOCIATE,PREP QTY IN THE SHIFT,PREPED IN THE SHIFT SO FAR,HOURS PREP TO FUR,FURN,HAS SCRAP AT SINTER,ASSOCIATE AXPERIENCE,Prep week,Has MRR
9664746-1430288,1,PIN_GRIP_P,480,4,2,10,1,152065732,84,72,72,FURN0007,0,2,1,1
9664752-,0,PIN_GRIP_P,456,4,1,16,10,152827348,110,40,24,FURN0007,0,2,1,0
9664797-,0,PINN_PORO,576,5,1,13,10,152061442,93,14,72,FURN0006,0,2,1,0
9664805-,0,PINN_PORO,72,2,2,1,10,152834263,107,10,0,FURN0006,0,2,1,0
9664808-,0,PINN_PORO,96,6,2,1,10,152859275,60,0,240,FURN0006,0,0,1,0
9664824-1430770,1,PINN_PORO,408,4,2,10,1,152872541,42,22,24,FURN0004,0,2,1,1
9664841-,0,PINN_PORO,144,1,2,6,10,152059403,70,0,72,FURN0006,1,2,1,0
9664844-,0,PINN_PORO,312,1,2,6,10,152834263,99,50,72,FURN0006,1,2,1,0
9664857-,0,PINN_PORO,480,3,2,5,10,152848005,20,10,0,FURN0006,0,2,1,0
9664874-,0,PINN_PORO,96,4,2,12,10,152834263,110,0,72,FURN0006,1,2,1,0
9665323-,0,PIN_GRIP_P,96,1,2,3,10,152051910,100,30,0,FURN0007,0,2,1,0
9665359-1430209,1,SUMMIT_P,,1,2,10,4,152863741,41,37,0,FURN0004,0,1,1,1
9667206-,0,GU_AN10_B,408,1,2,11,17,152852517,44,10,48,FURN0006,0,2,1,0
9667207-,0,GU_AN10_B,48,5,2,11,16,152872349,16,0,2280,FURN0006,0,1,1,0
9667209-,0,GU_AN10_B,408,1,2,11,17,152852517,44,27,24,FURN0004,1,2,1,0
9667283-1429984,1,SUMMIT_P,,3,2,0,1,152806978,23,3,24,FURN0004,0,2,1,1
9667286-1430604,1,SUMMIT_P,,3,2,0,1,152806978,23,2,120,FURN0004,0,2,1,1
9667382-1429976,1,GUIMST_P,456,1,2,0,2,152851272,11,0,48,FURN0006,0,2,1,1
9667769-1430162,1,SUMMIT_P,,1,2,7,6,152863741,41,20,72,FURN0004,1,1,1,1
9667800-1430852,1,PIN_GRIP_P,408,4,2,11,1,152824994,91,70,24,FURN0007,0,2,1,1
9667807-,0,PIN_GRIP_P,120,1,1,13,10,152072361,100,10,0,FURN0007,0,2,1,0
9667810-,0,PIN_GRIP_P,120,1,1,19,10,152072361,100,50,24,FURN0007,0,2,1,0
9667817-,0,PIN_GRIP_P,168,4,1,13,10,152827348,110,10,24,FURN0007,0,2,1,0
9667820-,0,PIN_GRIP_P,0,2,1,15,10,152072361,99,20,0,FURN0007,0,2,1,0
9667822-,0,PIN_GRIP_P,216,5,2,12,10,152827348,71,2,24,FURN0007,1,2,1,0
9667823-,0,PIN_GRIP_P,120,2,1,23,10,152072361,99,89,24,FURN0007,0,2,1,0
9667829-,0,PIN_GRIP_P,432,2,1,13,10,152072361,99,10,0,FURN0007,0,2,1,0
9667837-1429950,1,PIN_GRIP_P,456,3,2,0,1,152065732,46,0,0,FURN0007,0,2,1,1
9667841-1429990,1,PIN_GRIP_P,456,4,2,10,1,152065732,84,73,24,FURN0007,0,2,1,1
9667852-,0,PIN_GRIP_P,96,1,2,2,10,152051910,100,20,0,FURN0007,1,2,1,1
9667852-1430740,1,PIN_GRIP_P,168,4,1,18,3,152051910,117,60,24,FURN0007,1,2,1,1
9667861-,0,PIN_GRIP_P,48,1,2,11,10,152827348,100,90,48,FURN0007,0,2,1,0
9667869-,0,PIN_GRIP_P,288,1,2,4,10,152827348,100,20,0,FURN0007,0,2,1,0
9667875-,0,PINN_PORO,48,1,2,11,10,152061442,119,109,96,FURN0004,0,2,1,0
9667877-,0,PINN_PORO,0,1,2,10,10,152061442,119,99,72,FURN0006,0,2,1,1
9667878-,0,PINN_PORO,72,2,2,8,10,152061442,131,91,24,FURN0004,0,2,1,0
9667889-,0,PINN_PORO,24,2,2,3,10,152061442,131,31,0,FURN0006,0,2,1,0
9667896-,0,PINN_PORO,24,2,2,0,10,152061442,131,1,0,FURN0006,0,2,1,1
9667896-1431012,1,PINN_PORO,72,4,2,11,1,152061442,131,0,24,FURN0006,0,2,1,1
9667898-1429972,1,PINN_PORO,360,2,2,0,1,152061442,131,0,24,FURN0004,0,2,1,1
9667899-,0,PINN_PORO,24,2,2,10,10,152061442,131,111,0,FURN0006,0,2,1,0
9667919-,0,PINN_PORO,168,2,2,0,10,152834263,107,0,48,FURN0006,0,2,1,0
9667922-,0,PINN_PORO,144,5,2,2,10,152859275,40,0,0,FURN0004,0,0,1,0
