WO-MRR NUM,IS REWORK,PROD_CDE,HOURS BLAST TO PREP,PREP DAY,PREP SHIFT,PREP H,PREP QTY,PREP ASSOCIATE,PREP QTY IN THE SHIFT,PREPED IN THE SHIFT SO FAR,HOURS PREP TO FUR,FURN,HAS SCRAP AT SINTER,ASSOCIATE AXPERIENCE,Prep week,Has MRR
9677037-,0,PIN_GRIP_P,0,3,1,22,10,152065732,60,40,24,FURN0007,0,2,2,0
9677040-,0,PIN_GRIP_P,0,3,1,17,10,152827348,130,40,48,FURN0007,0,2,3,1
9677051-,0,PIN_GRIP_P,48,4,2,3,10,152072361,80,20,0,FURN0007,1,2,3,0
9677052-,0,PIN_GRIP_P,240,5,2,7,7,152051910,91,74,72,FURN0007,0,3,3,1
9677060-,0,PIN_GRIP_P,48,3,1,15,10,152824994,80,0,48,FURN0007,0,2,2,0
9677061-,0,PIN_GRIP_P,312,2,2,12,10,152827348,61,0,0,FURN0007,0,2,3,1
9677064-,0,PIN_GRIP_P,192,5,2,5,10,152051910,109,29,24,FURN0007,1,2,2,0
9677065-,0,PIN_GRIP_P,48,3,2,3,10,152827348,116,36,0,FURN0007,0,2,2,0
9677067-,0,PIN_GRIP_P,120,2,2,11,10,152848254,82,72,0,FURN0004,0,2,2,0
9677593-,0,SUMMIT_P,,5,1,14,10,152863741,30,0,48,FURN0004,1,1,1,0
9677611-,0,SUMMIT_P,,7,2,3,10,152806978,40,0,24,FURN0004,0,2,1,0
9677616-,0,SUMMIT_P,,1,1,20,10,152871590,60,40,24,FURN0004,0,2,3,0
9677619-,0,SUMMIT_P,,4,1,13,10,152863741,40,0,72,FURN0004,1,1,1,0
9677620-,0,SUMMIT_P,,5,1,19,10,152863741,30,20,72,FURN0004,1,1,1,0
9677621-,0,SUMMIT_P,,4,1,16,10,152863741,40,10,72,FURN0004,1,1,1,1
9677657-,0,GUIMST_P,0,4,1,20,9,152851272,36,18,120,FURN0004,1,2,1,0
9677677-,0,PIN_GRIP_P,48,1,2,4,10,152054287,60,20,0,FURN0007,1,2,3,0
9677680-,0,PIN_GRIP_P,24,7,2,3,10,152051910,72,20,0,FURN0007,1,3,3,0
9677681-,0,PIN_GRIP_P,0,4,1,20,10,152054287,100,60,48,FURN0007,0,2,3,0
9677686-,0,PIN_GRIP_P,0,5,2,7,10,152051910,109,59,24,FURN0007,0,2,2,0
9677691-,0,PIN_GRIP_P,48,3,1,15,10,152054287,80,0,24,FURN0007,0,2,2,0
9677693-,0,PIN_GRIP_P,24,2,1,17,10,152848438,100,40,24,FURN0007,0,2,4,0
9677696-,0,PIN_GRIP_P,48,1,2,1,10,152824994,90,0,0,FURN0007,0,2,3,0
9677725-,0,PIN_GRIP_P,0,5,2,11,10,152848254,103,93,24,FURN0007,1,2,3,1
9677733-,0,PIN_GRIP_P,0,1,1,21,10,152051910,113,70,24,FURN0007,1,2,3,1
9677736-,0,PIN_GRIP_P,0,1,1,17,10,152051910,113,50,0,FURN0007,1,2,3,0
9677737-,0,PIN_GRIP_P,24,3,1,21,10,152065732,60,30,24,FURN0007,0,2,2,1
9677739-,0,PIN_GRIP_P,24,5,1,17,10,152824995,70,40,48,FURN0007,0,2,2,0
9677742-,0,PIN_GRIP_P,24,3,2,8,10,152051910,115,74,0,FURN0007,1,2,2,0
9677748-,0,PIN_GRIP_P,48,1,1,15,10,152827348,112,20,0,FURN0007,1,2,3,0
9677758-,0,PIN_GRIP_P,24,4,1,13,10,152065732,90,0,48,FURN0007,0,2,3,0
9677762-,0,PIN_GRIP_P,24,7,2,4,10,152051910,70,50,24,FURN0007,1,2,2,0
9677771-,0,PINN_PORO,0,5,2,9,10,152061442,121,90,48,FURN0004,0,2,2,0
9677776-,0,PINN_PORO,24,3,2,1,10,152061442,130,10,0,FURN0006,0,2,2,0
9677781-,0,PINN_PORO,24,1,2,7,10,57000763,75,50,0,FURN0006,1,2,2,1
9677787-,0,PINN_PORO,24,3,2,2,10,152061442,130,20,24,FURN0006,1,2,2,1
9677790-,0,PINN_PORO,24,7,2,6,10,152861369,110,50,0,FURN0006,1,2,1,0
9677793-,0,PINN_PORO,48,2,2,12,10,152861369,92,0,48,FURN0006,0,2,2,0
9677794-,0,PINN_PORO,0,2,2,8,10,57000763,100,70,24,FURN0004,0,2,2,0
9677797-,0,PINN_PORO,72,3,2,11,10,152834263,110,100,24,FURN0006,1,2,2,0
9677798-,0,PINN_PORO,240,3,2,10,10,152064733,10,0,0,FURN0006,1,1,3,0
9677802-,0,PINN_PORO,48,1,2,7,10,57000763,75,10,0,FURN0006,0,2,2,0
9677806-,0,PINN_PORO,72,3,2,8,10,152834263,110,82,24,FURN0006,1,2,2,0
9677807-,0,PINN_PORO,72,2,1,22,10,152861369,92,82,48,FURN0006,0,2,2,0
9677812-,0,PINN_PORO,144,5,2,1,10,152852517,77,0,24,FURN0006,0,2,2,0
9677813-,0,PINN_PORO,48,2,2,6,10,152848008,87,30,0,FURN0004,1,2,2,0
9677816-,0,PINN_PORO,24,7,2,1,10,152872541,24,14,0,FURN0006,0,2,1,0
9677822-,0,PINN_PORO,24,7,2,4,10,152859275,40,10,0,FURN0006,0,1,1,1
9677824-,0,PINN_PORO,168,2,2,2,8,152848005,108,10,72,FURN0006,1,2,3,0
9677829-,0,PINN_PORO,168,4,1,17,10,152834263,120,50,48,FURN0006,0,2,4,0
9677830-,0,PINN_PORO,168,5,2,1,10,152872541,101,0,72,FURN0005,1,2,4,0
9677831-,0,PINN_PORO,0,5,2,8,10,152872541,101,71,96,FURN0004,0,2,4,1
9677841-,0,PINN_PORO,24,3,1,14,10,57000763,109,20,96,FURN0006,0,2,4,0
9677842-,0,PINN_PORO,48,1,2,1,10,57000763,112,12,120,FURN0005,0,2,5,0
9677851-,0,PINN_PORO,528,1,1,19,10,152834263,149,79,24,FURN0005,1,2,9,0
9677855-,0,PINN_PORO,24,6,2,8,6,152890601,59,43,528,FURN0005,1,1,16,1
9677871-,0,PINN_PORO,24,2,1,18,10,152861369,92,51,144,FURN0006,1,2,2,0
9677872-,0,PINN_PORO,24,6,2,3,10,152861369,118,30,24,FURN0006,1,2,2,0
9677873-,0,PINN_PORO,72,5,2,4,10,152834263,110,50,72,FURN0006,1,2,2,0
9677879-,0,PINN_PORO,96,5,2,3,10,152834263,110,20,72,FURN0006,0,2,2,0
9677883-,0,PINN_PORO,120,5,1,15,10,57000763,80,50,72,FURN0006,1,2,2,1
9677891-,0,PINN_PORO,0,4,1,23,10,152834263,110,100,24,FURN0006,0,2,1,0
9677897-,0,PIN_GRIP_P,0,7,2,3,10,152051910,59,30,0,FURN0007,1,2,1,0
9677900-,0,PIN_GRIP_P,0,7,2,3,10,152827348,43,33,0,FURN0007,1,2,1,0
9677914-,0,PIN_GRIP_P,0,7,2,5,10,152051910,59,49,0,FURN0007,1,2,1,0
9678384-,0,GUIMST_P,0,5,1,17,9,152851272,18,9,120,FURN0006,1,2,1,0
9678474-,0,SUMMIT_P,,5,1,16,10,152863741,30,10,48,FURN0004,1,1,1,0
9678476-,0,SUMMIT_P,,1,1,15,10,152863741,21,1,48,FURN0004,1,1,2,0
9678477-,0,SUMMIT_P,,3,1,22,10,152863741,41,31,24,FURN0004,1,1,3,0
9678479-,0,SUMMIT_P,,1,2,7,10,152863741,40,20,24,FURN0004,1,1,3,0
9678480-,0,SUMMIT_P,,1,2,2,10,152863741,40,0,24,FURN0004,1,1,3,1
9678485-,0,SUMMIT_P,,2,1,22,10,152806978,50,40,24,FURN0004,1,2,2,0
9678486-,0,SUMMIT_P,,4,2,8,10,152871590,60,40,24,FURN0004,0,2,2,0
9678489-,0,SUMMIT_P,,1,2,5,10,152863741,40,10,24,FURN0004,0,1,3,0
9678632-,0,GU_AN10_B,96,7,2,3,16,152852517,36,0,24,FURN0006,1,2,3,0
9678634-,0,GU_AN10_B,24,3,1,23,17,152852517,76,49,24,FURN0006,0,2,3,1
